record_id,kode_wilayah,nama_wilayah,tingkat_wilayah,tahun,topik,kode_indikator,nama_indikator,nilai,satuan,jenis_disagregasi_1,kategori_disagregasi_1,jenis_disagregasi_2,kategori_disagregasi_2,versi_wilayah,dataset_asal
ID-0000085,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,6.85,% pengguna internet,area,rural,category,online_learning,id_38_2024,bps_internet_purpose
ID-0000086,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,9.33,% pengguna internet,area,rural,category,other,id_38_2024,bps_internet_purpose
ID-0000087,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,1.96,% pengguna internet,area,rural,category,sell_goods_services,id_38_2024,bps_internet_purpose
ID-0000088,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,75.51,% pengguna internet,area,rural,category,social_media,id_38_2024,bps_internet_purpose
ID-0000089,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,1.28,% pengguna internet,area,rural,category,work_from_home,id_38_2024,bps_internet_purpose
ID-0000090,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,14.76,% pengguna internet,area,total,category,buy_goods_services,id_38_2024,bps_internet_purpose
ID-0000091,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,3.98,% pengguna internet,area,total,category,digital_content_creation,id_38_2024,bps_internet_purpose
ID-0000092,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,12,% pengguna internet,area,total,category,email,id_38_2024,bps_internet_purpose
ID-0000093,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,82.91,% pengguna internet,area,total,category,entertainment,id_38_2024,bps_internet_purpose
ID-0000094,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,9.67,% pengguna internet,area,total,category,financial_services,id_38_2024,bps_internet_purpose
ID-0000095,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,20.8,% pengguna internet,area,total,category,goods_services_information,id_38_2024,bps_internet_purpose
ID-0000096,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,80.37,% pengguna internet,area,total,category,news_information,id_38_2024,bps_internet_purpose
ID-0000097,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,7.53,% pengguna internet,area,total,category,online_learning,id_38_2024,bps_internet_purpose
ID-0000098,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,8.83,% pengguna internet,area,total,category,other,id_38_2024,bps_internet_purpose
ID-0000099,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,2.26,% pengguna internet,area,total,category,sell_goods_services,id_38_2024,bps_internet_purpose
ID-0000100,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,77,% pengguna internet,area,total,category,social_media,id_38_2024,bps_internet_purpose
ID-0000101,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,1.64,% pengguna internet,area,total,category,work_from_home,id_38_2024,bps_internet_purpose
ID-0000102,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,19.96,% pengguna internet,area,urban,category,buy_goods_services,id_38_2024,bps_internet_purpose
ID-0000103,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,5.23,% pengguna internet,area,urban,category,digital_content_creation,id_38_2024,bps_internet_purpose
ID-0000104,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,17.68,% pengguna internet,area,urban,category,email,id_38_2024,bps_internet_purpose
ID-0000105,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,86.41,% pengguna internet,area,urban,category,entertainment,id_38_2024,bps_internet_purpose
ID-0000106,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,16.46,% pengguna internet,area,urban,category,financial_services,id_38_2024,bps_internet_purpose
